model,representation,label,precision,recall,f1,support
MultinomialNB,word_1_2,negative,0.566308,0.478788,0.518883,660
MultinomialNB,word_1_2,neutral,0.616071,0.775281,0.686567,1068
MultinomialNB,word_1_2,positive,0.634304,0.405797,0.494949,483
LogisticRegression,word_1_2,negative,0.637450,0.484848,0.550775,660
LogisticRegression,word_1_2,neutral,0.616239,0.831461,0.707852,1068
LogisticRegression,word_1_2,positive,0.686567,0.380952,0.490013,483
LinearSVC,word_1_2,negative,0.607664,0.504545,0.551325,660
LinearSVC,word_1_2,neutral,0.622321,0.788390,0.695580,1068
LinearSVC,word_1_2,positive,0.641935,0.412008,0.501892,483
MultinomialNB,char_wb_3_5,negative,0.638614,0.586364,0.611374,660
MultinomialNB,char_wb_3_5,neutral,0.669388,0.767790,0.715220,1068
MultinomialNB,char_wb_3_5,positive,0.663158,0.521739,0.584009,483
LogisticRegression,char_wb_3_5,negative,0.710117,0.553030,0.621806,660
LogisticRegression,char_wb_3_5,neutral,0.664756,0.868914,0.753247,1068
LogisticRegression,char_wb_3_5,positive,0.767442,0.478261,0.589286,483
LinearSVC,char_wb_3_5,negative,0.686620,0.590909,0.635179,660
LinearSVC,char_wb_3_5,neutral,0.679876,0.819288,0.743100,1068
LinearSVC,char_wb_3_5,positive,0.707865,0.521739,0.600715,483
